Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Bureau Partition 4 Seat 240 CM WHM;244400;MOBILIER DE BUREAU ;SEC DIR TECHNIQUE ET D OPERATION ;TA/244400/2023/2001/001;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;SEC DIR TECHNIQUE ET D OPERATION ;TA/244400/2023/2001/002;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;SEC DIR TECHNIQUE ET D OPERATION ;TA/244400/2023/2001/003;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;SEC DIR TECHNIQUE ET D OPERATION ;TA/244400/2023/2001/004;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;SEC DIR TECHNIQUE ET D OPERATION ;TA/244400/2023/2001/005;;;;;;;;;;;;;;;;;;;;;
Imprimantes Hp;244200;MATERIEL INFORMATIQUE;SEC DIR TECHNIQUE ET D OPERATION ;TA/244200/2023/2001/006;Kiya Informatique;6/12/23;6/12/23;6/12/26; 	3,00 ;0,03; 	828 000,00 FC ;;;;;;;;;;;;;;
Ordinateur Fixes HP;244200;MATERIEL INFORMATIQUE;SEC DIR TECHNIQUE ET D OPERATION ;TA/244200/2023/2001/007;;;;;;;;;;;;;;;;;;;;;
Ordinateur Fixes HP;244200;MATERIEL INFORMATIQUE;SEC DIR TECHNIQUE ET D OPERATION ;TA/244200/2023/2001/008;;;;;;;;;;;;;;;;;;;;;
Ordinateur Portables HP;244200;MATERIEL INFORMATIQUE;SEC DIR TECHNIQUE ET D OPERATION ;TA/244200/2023/2001/009;;;;;;;;;;;;;;;;;;;;;
