Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Armoire File cabinet 800*400*200CLR KALDI IV (armoire);244400;MOBILIER DE BUREAU ;BUREAU DG;TAC MB BDG 001/2024;;;;;3;0,3333;;;;;;;;;;;;;;;
Table Special DG Excluisive table 3200*2200 REF 59M01;244400;MOBILIER DE BUREAU ;BUREAU DG;TAC MB BDG 002/2024;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil DG Special Office chair 69*66,5*122.5 brown PU;244400;MOBILIER DE BUREAU ;BUREAU DG;TAC MB BDG 003/2024;DREAMS;45512;45512;46607;3;0,3333;770000;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;BUREAU DG;TAC MB BDG 004/2024;DREAMS;45512;45512;46607;3;0,3333;378000;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;BUREAU DG;TAC MB BDG 005/2024;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau avec Roulette;244400;MOBILIER DE BUREAU ;BUREAU DG;TAC MB BDG 006/2024;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau avec Roulette;244400;MOBILIER DE BUREAU ;BUREAU DG;TAC MB BDG 007/2024;;;;;3;0,3333;;;;;;;;;;;;;;;
Television LG ;244200;MATERIEL INFORMATIQUE ;BUREAU DG;TAC  MI BDG 001/2024;;;;;3;;;;;;;;;;;;;;;;
