;;;;;;;;;;
;;2;255;510;682,25;341,125;;;;
;;7;100;700;682,25;97,4642857142857;;;;
;;1;170;170;682,25;682,25;;;;
;;3;100;300;682,25;227,416666666667;;;;
;;;;1680;2729;;;;;
;;;;;;;;;;
;;1;225;225;;;;;;
;;1;320;320;;;;;;
;;1;278;278;;;;;;
;;1;210;210;;;;;;
;;100;0,25;25;;;;;;
;;3;48;144;;;;;;
;;2;76;152;;;;;;
;;1;175;175;;;;;;
;;1;250;250;;;;;;
;;1;300;300;;;;;;
;;1;650;650;;;;;;
;;;;2729;1,62440476190476;828,446428571428;1137,08333333333;276,148809523809;487,321428571428;2729
;;;;;;414,223214285714;162,440476190476;276,148809523809;162,440476190476;
;;;;;;2;7;1;3;
;;;;;;828,446428571428;1137,08333333333;276,148809523809;487,321428571428;
;;;;;;255;100;170;100;
;;;;;;;;;;
;;;;;;1338,44642857143;1837,08333333333;446,148809523809;787,321428571428;
;;;;;;;;;;
;;;;;;669,223214285714;262,440476190476;446,148809523809;262,440476190476;
;;;;;;1338,44642857143;1837,08333333333;446,148809523809;787,321428571428;4409
;;;;;;;;;;
;;2; 	1 338,45 ; 	669,22 ; 	1 920 670,63 ;;;;;
;;7; 	1 837,08 ; 	262,44 ; 	753 204,17 ;;;;;
;;1; 	446,15 ; 	446,15 ; 	1 280 447,08 ;;;;;
;;3; 	787,32 ; 	262,44 ; 	753 204,17 ;;;;;
;;; 	4 409,00 ; 	1 640,25 ;;;;;;
