Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Bureau Partition 2 Seat 240 CM WHM;244400;MOBILIER DE BUREAU ;OPERATION ADMINISTRATION ;TA/244400/2023/2001/001;;;;;;;;;;;;;;;;;;;;;
Ordinateur Fixes HP;244200;MATERIEL INFORMATIQUE;OPERATION ADMINISTRATION ;TA/244200/2023/2001/002;;;;;;;;;;;;;;;;;;;;;
Ordinateur Fixes HP;244200;MATERIEL INFORMATIQUE;OPERATION ADMINISTRATION ;TA/244200/2023/2001/003;;;;;;;;;;;;;;;;;;;;;
Ecran LG 52 Pouces ;244200;MATERIEL INFORMATIQUE;OPERATION ADMINISTRATION ;TA/244200/2023/2001/004;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;OPERATION ADMINISTRATION ;TA/244400/2023/2001/005;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;OPERATION ADMINISTRATION ;TA/244400/2023/2001/006;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;OPERATION ADMINISTRATION ;TA/244400/2023/2001/007;;;;;;;;;;;;;;;;;;;;;
Ondulleur/ KIWI;244200;MATERIEL INFORMATIQUE;OPERATION ADMINISTRATION ;TA/244200/2023/2001/008;;;;;;;;;;;;;;;;;;;;;
