;République Démocratique du Congo;;;;;;;;;;;;;;;;;;;;;;;;;;
;MINISTERE DES TRANSPORTS, VOIES DE COMMUNICATION ET DE DESENCLAVEMENT;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;4864950;;;;;;;;;;;;;;
;TRANSPORT ACADEMIQUE;;;;;;;;;;;;3243300;;;;;;;;;;;;;;
;;;;;;;;;;;;;8108250;;;;;;;;;;;;;;
;SERVICE DE LA COMPTABILITE;;;;;;;;;;;;;;;;;;;;;;;;;;
;FICHIER D'IMMOBILISATION  FOURNITURE DE BUREAU ET MATERIEL INFORMATIQUE ;;;;;;;;;;;;;;;;;;;;;;;;;;
;Désignation;Compte;Rubrique;Emplacement;Colonne1;Code d'idenification;FOURNISSEUR;Date d'Acquisition ;Mis en service;Fin amort.;Durée;Taux;V0;Amortissement 2023;Cumul Amort 2023;VNC 2023;Amortissement 2024;Cumul Amort 2024;VNC 2024;Coéfficient de Révaluation;VBR;CV;AR;CA;SA;ER;
1;Bureau Partition 4 Seat 240 CM WHM;244400;MOBILIER DE BUREAU ;INFORMATIQUE;;TA/244400/2023/0005/001;;;;;3;0,3333;; 	-      ;;;;;;;;;;;;;
2;Bureau Partition 4 Seat 240 CM WHM;244400;MOBILIER DE BUREAU ;INFORMATIQUE;;TA/244400/2023/0005/002;;;;;3;0,3333;; 	-      ;;;;;;;;;;;;;
3;Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;;TA/244400/2023/0005/003;;;;;3;0,3333;; 	-      ;;;;;;;;;;;;;
4;Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;;TA/244400/2023/0005/004;;;;;3;0,3333;; 	-      ;;;;;;;;;;;;;
5;Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;;TA/244400/2023/0005/005;;;;;3;0,3333;; 	-      ;;;;;;;;;;;;;
6;Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;;TA/244400/2023/0005/006;;;;;3;0,3333;; 	-      ;;;;;;;;;;;;;
7;Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;;TA/244400/2023/0005/007;;;;;3;0,3333;; 	-      ;;;;;;;;;;;;;
8;Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;;TA/244400/2023/0005/008;;;;;3;0,3333;; 	-      ;;;;;;;;;;;;;
9;Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;;TA/244400/2023/0005/009;;;;;3;0,3333;; 	-      ;;;;;;;;;;;;;
