Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Armoire en Bois ;244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR FINANCIER ;TAC MB BDF 001/2024;;;;;;;;;;;;;;;;;;;;;
Armoire en Bois ;244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR FINANCIER ;TAC MB BDF 002/2024;;;;;;;;;;;;;;;;;;;;;
Armoire en Bois ;244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR FINANCIER ;TAC MB BDF 003/2024;;;;;;;;;;;;;;;;;;;;;
Armoire cabinet 120*40200walnut gre (armoire);244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR FINANCIER ;TAC MB BDF 004/2024;;;;;;;;;;;;;;;;;;;;;
Table Special Marque DT Staff desk 140*70*75cm-gold teak;244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR FINANCIER ;TAC MB BDF 005/2024;;;;;;;;;;;;;;;;;;;;;
Fauteuil DF Special Office chair 69*66,5*122.5 brown PU;244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR FINANCIER ;TAC MB BDF 006/2024;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR FINANCIER ;TAC MB BDF 007/2024;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR FINANCIER ;TAC MB BDF 008/2024;;;;;;;;;;;;;;;;;;;;;
Ordinateur Fixes HP;244200;MATERIEL INFORMATIQUE;BUREAU DIRECTEUR FINANCIER ;TAC MI BDF 001/2024;;;;;;;;;;;;;;;;;;;;;
