Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Armoire 120*40200walnut gre (armoire);244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR DES OPERATION ;TAC MB BDO 001/2024;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Armoire en Bois ;244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR DES OPERATION ;TAC MB BDO 002/2024;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil grand Special black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR DES OPERATION ;TAC MB BDO 003/2024;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil avec Roulettes (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR DES OPERATION ;TAC MB BDO 004/2024;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil avec Roulettes (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR DES OPERATION ;TAC MB BDO 005/2024;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Table Special Marque DT Staff desk 140*70*75cm-gold teak;244400;MOBILIER DE BUREAU ;BUREAU DIRECTEUR DES OPERATION ;TAC MB BDO 006/2024;DREAMS;8/8/24;8/8/24;8/8/27; 	3,00 ;33 %; 	238 000,00 FC ;;;;;;;;;;;;;;
Ordinateur Fixe;244200;MATERIEL INFORMATIQUE ;BUREAU DIRECTEUR DES OPERATION ;TAC MI BDO 001/2024;;;;; 	3,00 ;;;;;;;;;;;;;;;;
